,address,built,link,name,phone,renovated,rent_high,rent_low,units,websiteLink
0,"49300 Crabtree Crossing, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 2019</li>",https://www.apartments.com/park-west-canton-mi/eknjtbm/,Park West,734-344-5126,not renovated,2349,1899,"<li><span class=""bullet"">•</span>206 Units/2 Stories</li>",https://www.singhapartments.com/apartments/mi/canton/crabtree-crossing/
1,"201 Cassia Ct, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 2005</li>",https://www.apartments.com/the-pointe-at-canton-apartments-townhomes-canton-mi/vykyqsg/,The Pointe at Canton Apartments & Townhomes,734-259-3688,"<li><span class=""bullet"">•</span>Renovated in Jan 2005</li>",1785,1295,"<li><span class=""bullet"">•</span>195 Units/2 Stories</li>",http://www.thepointeatcanton.com/
2,"41140 Canton Ct, Canton, MI 48188","<li><span class=""bullet"">•</span>Built in 1971</li>",https://www.apartments.com/meadowood-townhomes-canton-mi/cweqgsg/,Meadowood Townhomes,877-251-5488,not renovated,1260,950,"<li><span class=""bullet"">•</span>452 Units/2 Stories</li>",http://www.dhsmgt.com/community_model/meadowood_townhomes
3,"8375 Honeytree Blvd, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1968</li>",https://www.apartments.com/crossings-at-canton-canton-mi/jg3qbm7/,Crossings at Canton,844-553-9158,"<li><span class=""bullet"">•</span>Renovated in Jan 2020</li>",1799,845,"<li><span class=""bullet"">•</span>744 Units/3 Stories</li>",http://www.crossingsatcanton.com/
4,"49000 Denton Rd, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 1972</li>",https://www.apartments.com/harbour-club-belleville-mi/h52x3p2/,Harbour Club,888-351-3899,"<li><span class=""bullet"">•</span>1112 Units/3 Stories</li>",2855,791,"<li><span class=""bullet"">•</span>Furnished</li>",https://www.harbourclubmi.com/?utm_knock=a
5,"46161 Village Green Dr, Belleville, MI 48111","<li><span class=""bullet"">•</span>Built in 1973</li>",https://www.apartments.com/the-parks-of-belleville-belleville-mi/p7x83cr/,The Parks Of Belleville,844-256-5355,"<li><span class=""bullet"">•</span>Renovated in Jan 2000</li>",975,730,"<li><span class=""bullet"">•</span>168 Units/3 Stories</li>",http://www.dhsmgt.com/community_model/the_parks_of_belleville
6,"37115 McKinney Ave, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1985</li>",https://www.apartments.com/warris-farms-apartments-westland-mi/wr4szth/,Warris Farms Apartments,844-735-3342,"<li><span class=""bullet"">•</span>Renovated in Jan 2003</li>",1375,900,"<li><span class=""bullet"">•</span>216 Units/3 Stories</li>",No website link
7,"1673 Fairwood Dr, Westland, MI 48185","<li><span class=""bullet"">•</span>Built in 1969</li>",https://www.apartments.com/willow-creek-apartments-westland-mi/p5n81vs/,Willow Creek Apartments,734-629-4322,not renovated,1050,775,"<li><span class=""bullet"">•</span>408 Units/2 Stories</li>",http://harvest-properties.com/property/willow-creek-apartments/
8,"49975 Roanoke Ave, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 2005</li>",https://www.apartments.com/uptown-canton-mi/9fml4j6/,Uptown,866-652-7659,"<li><span class=""bullet"">•</span>501 Units/3 Stories</li>",2565,1008,"<li><span class=""bullet"">•</span>Furnished</li>",http://www.uptownapts.com/
9,"7655 Balmoral Dr, Canton, MI 48187","<li><span class=""bullet"">•</span>Built in 1986</li>",https://www.apartments.com/pilgrim-village-canton-mi/0eqh4r3/,Pilgrim Village,734-329-0059,not renovated,1500,1125,"<li><span class=""bullet"">•</span>294 Units/2 Stories</li>",No website link
